PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2018;04;22;00004;V;00003;V;00002;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2018;04;22;000.8;V;000.6;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;7;28079004_7_8;2018;04;22;00075;V;00035;V;00010;V;00029;V;00020;V;00023;V;00028;V;00031;V;00040;V;00016;V;00004;V;00002;V;00001;V;00002;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;8;28079004_8_8;2018;04;22;00075;V;00070;V;00068;V;00058;V;00046;V;00037;V;00035;V;00038;V;00040;V;00039;V;00033;V;00032;V;00029;V;00034;V;00033;V;00020;V;00024;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;12;28079004_12_8;2018;04;22;00190;V;00125;V;00084;V;00103;V;00077;V;00072;V;00078;V;00085;V;00102;V;00064;V;00040;V;00035;V;00031;V;00037;V;00034;V;00022;V;00026;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;1;28079008_1_38;2018;04;22;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;6;28079008_6_48;2018;04;22;000.6;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;7;28079008_7_8;2018;04;22;00036;V;00019;V;00025;V;00029;V;00039;V;00005;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00005;V;00006;V;00007;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;8;28079008_8_8;2018;04;22;00102;V;00085;V;00083;V;00082;V;00087;V;00044;V;00032;V;00035;V;00032;V;00020;V;00016;V;00020;V;00022;V;00028;V;00033;V;00023;V;00027;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;9;28079008_9_47;2018;04;22;00022;V;00008;V;00005;V;00002;V;00016;V;00017;V;00008;V;00004;V;00001;V;00010;V;00015;V;00008;V;00007;V;00012;V;00012;V;00016;V;00012;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;10;28079008_10_47;2018;04;22;00034;V;00018;V;00013;V;00008;V;00025;V;00026;V;00016;V;00011;V;00005;V;00018;V;00024;V;00016;V;00015;V;00025;V;00032;V;00032;V;00027;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;12;28079008_12_8;2018;04;22;00157;V;00114;V;00121;V;00125;V;00147;V;00052;V;00037;V;00040;V;00037;V;00024;V;00020;V;00026;V;00029;V;00036;V;00043;V;00034;V;00033;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;14;28079008_14_6;2018;04;22;09.61;V;20.85;V;25.45;V;18.74;V;08.44;V;32.18;V;38.49;V;38.29;V;47.03;V;59.10;V;69.35;V;74.55;V;76.60;V;75.63;V;73.46;V;83.63;V;84.32;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;20;28079008_20_59;2018;04;22;004.0;V;003.0;V;001.5;V;001.4;V;002.1;V;002.6;V;001.4;V;001.2;V;001.3;V;000.8;V;000.7;V;000.6;V;000.7;V;000.6;V;000.7;V;000.6;V;000.7;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;30;28079008_30_59;2018;04;22;001.4;V;001.0;V;000.7;V;000.7;V;000.8;V;000.7;V;000.4;V;000.4;V;000.5;V;000.5;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;35;28079008_35_59;2018;04;22;000.7;V;000.5;V;000.3;V;000.3;V;000.3;V;000.4;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;42;28079008_42_2;2018;04;22;01.56;V;01.47;V;01.43;V;01.47;V;01.61;V;01.46;V;01.44;V;01.43;V;01.42;V;01.41;V;01.40;V;01.39;V;01.39;V;01.38;V;01.38;V;01.38;V;01.39;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;43;28079008_43_2;2018;04;22;01.42;V;01.40;V;01.39;V;01.41;V;01.50;V;01.42;V;01.40;V;01.40;V;01.38;V;01.38;V;01.37;V;01.36;V;01.36;V;01.35;V;01.34;V;01.35;V;01.36;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;44;28079008_44_2;2018;04;22;00.14;V;00.08;V;00.05;V;00.07;V;00.11;V;00.05;V;00.04;V;00.04;V;00.04;V;00.03;V;00.03;V;00.04;V;00.03;V;00.03;V;00.04;V;00.03;V;00.03;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;7;28079011_7_8;2018;04;22;00010;V;00004;V;00001;V;00009;V;00006;V;00001;V;00001;V;00001;V;00001;V;00002;V;00005;V;00004;V;00002;V;00003;V;00005;V;00005;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;8;28079011_8_8;2018;04;22;00069;V;00065;V;00040;V;00067;V;00057;V;00022;V;00017;V;00019;V;00020;V;00018;V;00018;V;00017;V;00011;V;00016;V;00023;V;00020;V;00023;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;12;28079011_12_8;2018;04;22;00084;V;00071;V;00042;V;00082;V;00065;V;00023;V;00019;V;00020;V;00022;V;00021;V;00026;V;00023;V;00013;V;00021;V;00030;V;00027;V;00029;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;20;28079011_20_59;2018;04;22;001.1;V;001.6;V;000.7;V;001.1;V;001.6;V;001.0;V;000.4;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.3;V;000.4;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
